
code_province,osm_id,osm_type,category_key,category_value,lat,lon,reason
MA-01-331,476365873,way,amenity,place_of_worship,35.0161238,-5.9211474,hors_polygone_commune_connu
MA-01-331,476366036,way,amenity,place_of_worship,35.0158666,-5.9170718,hors_polygone_commune_connu
MA-01-331,476366705,way,amenity,place_of_worship,35.0044392,-5.9177073,hors_polygone_commune_connu
MA-01-331,521110995,way,leisure,pitch,35.0078176,-5.9089989,hors_polygone_commune_connu
MA-01-331,525697350,way,leisure,sports_centre,35.0136926,-5.9094365,hors_polygone_commune_connu
MA-01-331,1490875956,way,leisure,pitch,35.0079455,-5.9098932,hors_polygone_commune_connu
MA-01-331,1490875959,way,leisure,stadium,35.0077846,-5.9090219,hors_polygone_commune_connu
MA-01-331,1490875960,way,leisure,pitch,35.0138587,-5.9097086,hors_polygone_commune_connu
MA-01-331,1490875961,way,leisure,pitch,35.0136224,-5.9097906,hors_polygone_commune_connu
MA-01-331,1490875962,way,leisure,pitch,35.0137448,-5.9090324,hors_polygone_commune_connu
MA-01-331,1490875963,way,leisure,pitch,35.0139327,-5.9092254,hors_polygone_commune_connu
MA-01-331,1490875964,way,leisure,pitch,35.0134325,-5.9096077,hors_polygone_commune_connu
MA-01-331,1490875965,way,leisure,pitch,35.0135069,-5.9091185,hors_polygone_commune_connu
MA-01-331,1490875968,way,leisure,sports_centre,35.0130659,-5.909135,hors_polygone_commune_connu
MA-01-405,4825272022,node,amenity,bank,34.765656,-5.1769355,hors_polygone_commune_connu
MA-01-511,489536546,node,tourism,hotel,35.7591065,-5.9387313,hors_polygone_commune_connu
MA-01-511,552429071,node,amenity,restaurant,35.7599201,-5.93881,hors_polygone_commune_connu
MA-01-511,552429073,node,amenity,restaurant,35.7602418,-5.9388809,hors_polygone_commune_connu
MA-01-511,616475040,node,amenity,school,35.7829139,-5.8189968,hors_polygone_commune_connu
MA-01-511,616475063,node,amenity,school,35.7840374,-5.8195497,hors_polygone_commune_connu
MA-01-511,617363296,node,historic,city_gate,35.7855181,-5.8124702,hors_polygone_commune_connu
